date,confirmed_cases_global,dead_cases_global,recovered_cases_global,confirmed_cases_China,dead_cases_China,recovered_cases_China
1/23/20,99.0,1.0,2.0,95.0,1.0,2.0
1/24/20,287.0,8.0,6.0,277.0,8.0,6.0
1/25/20,493.0,16.0,3.0,486.0,16.0,3.0
1/26/20,684.0,14.0,13.0,669.0,14.0,10.0
1/27/20,809.0,26.0,9.0,802.0,26.0,9.0
1/28/20,2651.0,49.0,46.0,2632.0,49.0,43.0
1/29/20,588.0,2.0,19.0,578.0,2.0,19.0
1/30/20,2068.0,38.0,17.0,2054.0,38.0,15.0
1/31/20,1693.0,42.0,79.0,1661.0,42.0,79.0
2/1/20,2111.0,46.0,62.0,2089.0,46.0,61.0
2/2/20,4749.0,103.0,188.0,4739.0,102.0,188.0
2/3/20,3094.0,64.0,151.0,3086.0,64.0,151.0
2/4/20,4011.0,66.0,229.0,3991.0,66.0,229.0
2/5/20,3743.0,72.0,272.0,3733.0,72.0,272.0
2/6/20,3159.0,70.0,363.0,3147.0,70.0,362.0
2/7/20,3597.0,85.0,524.0,3523.0,85.0,522.0
2/8/20,2729.0,87.0,605.0,2704.0,87.0,597.0
2/9/20,3030.0,100.0,628.0,3015.0,100.0,623.0
2/10/20,2612.0,107.0,702.0,2525.0,107.0,699.0
2/11/20,2040.0,100.0,737.0,2032.0,100.0,718.0
2/12/20,419.0,5.0,467.0,373.0,5.0,446.0
2/13/20,15147.0,253.0,1145.0,15136.0,252.0,1135.0
2/14/20,6517.0,152.0,1763.0,6463.0,152.0,1760.0
2/15/20,2145.0,143.0,1337.0,2055.0,142.0,1321.0
2/16/20,2194.0,104.0,1470.0,2100.0,103.0,1457.0
2/17/20,2034.0,98.0,1718.0,1921.0,98.0,1707.0
2/18/20,1878.0,139.0,1769.0,1777.0,139.0,1744.0
2/19/20,503.0,115.0,1769.0,408.0,113.0,1756.0
2/20/20,558.0,125.0,2056.0,458.0,122.0,2052.0
2/21/20,622.0,4.0,713.0,473.0,0.0,690.0
2/22/20,1753.0,207.0,3996.0,1451.0,205.0,3995.0
2/23/20,386.0,11.0,508.0,21.0,2.0,488.0
2/24/20,603.0,160.0,1833.0,219.0,150.0,1828.0
2/25/20,845.0,79.0,2678.0,513.0,70.0,2661.0
2/26/20,982.0,62.0,2479.0,412.0,52.0,2408.0
2/27/20,1358.0,44.0,2893.0,434.0,29.0,2846.0
2/28/20,1366.0,58.0,3434.0,328.0,44.0,3399.0
2/29/20,1899.0,69.0,3071.0,428.0,47.0,2991.0
3/1/20,2358.0,55.0,2934.0,576.0,35.0,2842.0
3/2/20,1937.0,89.0,2886.0,204.0,42.0,2692.0
3/3/20,2534.0,75.0,2626.0,125.0,33.0,2596.0
3/4/20,2280.0,94.0,2942.0,125.0,36.0,2551.0
3/5/20,2766.0,94.0,2626.0,151.0,32.0,2291.0
3/6/20,3915.0,112.0,2069.0,153.0,29.0,1652.0
3/7/20,4046.0,98.0,2493.0,80.0,28.0,1595.0
3/8/20,3974.0,244.0,2336.0,53.0,28.0,1849.0
3/9/20,3769.0,186.0,1800.0,37.0,23.0,1416.0
3/10/20,5030.0,274.0,1910.0,27.0,16.0,1377.0
3/11/20,7255.0,353.0,2599.0,34.0,22.0,1463.0
3/12/20,2477.0,105.0,1321.0,11.0,11.0,1257.0
3/13/20,16853.0,684.0,1927.0,13.0,8.0,1295.0
3/14/20,10896.0,415.0,2373.0,32.0,13.0,1464.0
3/15/20,11353.0,621.0,3410.0,26.0,10.0,1357.0
3/16/20,14120.0,686.0,2054.0,30.0,14.0,893.0
3/17/20,15528.0,779.0,2752.0,25.0,13.0,888.0
3/18/20,17719.0,828.0,2472.0,44.0,11.0,957.0
3/19/20,27679.0,1134.0,1663.0,54.0,8.0,780.0
3/20/20,29535.0,1432.0,2445.0,94.0,4.0,731.0
3/21/20,32361.0,1674.0,4272.0,55.0,6.0,591.0
3/22/20,32557.0,1678.0,6207.0,130.0,15.0,505.0
3/23/20,41282.0,1854.0,452.0,63.0,0.0,452.0
3/24/20,39810.0,2120.0,9649.0,93.0,7.0,466.0
3/25/20,49608.0,2556.0,5787.0,70.0,4.0,493.0
3/26/20,61938.0,2789.0,8363.0,121.0,6.0,408.0
3/27/20,63700.0,3228.0,8765.0,115.0,5.0,539.0
3/28/20,67415.0,3454.0,8500.0,102.0,3.0,380.0
3/29/20,59411.0,3273.0,9667.0,123.0,5.0,482.0
3/30/20,62248.0,3657.0,15484.0,76.0,4.0,341.0
3/31/20,75122.0,4525.0,13468.0,81.0,1.0,283.0
4/1/20,75118.0,4702.0,15143.0,82.0,7.0,199.0
4/2/20,80552.0,6174.0,17086.0,71.0,6.0,160.0
4/3/20,82760.0,5804.0,15533.0,79.0,4.0,195.0
