date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-02-04,sh.000032,1065.2660,1099.7180,1065.2660,1097.1840,1094.3880,1310307904,5756029696.0000,0.255485
2020-02-05,sh.000032,1097.3120,1116.0760,1091.8870,1102.0050,1097.1840,1035694896,4557859072.0000,0.439398
2020-02-06,sh.000032,1110.0790,1118.0450,1101.7680,1115.6870,1102.0050,956049600,4222791520.0000,1.241555
2020-02-07,sh.000032,1110.7500,1113.2060,1101.3960,1112.6180,1115.6870,821746896,3585866400.0000,-0.275077
2020-02-10,sh.000032,1106.7390,1126.0060,1104.4960,1125.8180,1112.6180,904422608,4218577632.0000,1.186391
2020-02-11,sh.000032,1126.6180,1143.2160,1122.1600,1134.5760,1125.8180,941618496,4477659392.0000,0.777923
2020-02-12,sh.000032,1132.0410,1140.9120,1127.9620,1140.9120,1134.5760,691640896,3058547568.0000,0.558447
2020-02-13,sh.000032,1141.3280,1147.1690,1133.3970,1134.0190,1140.9120,702519600,3150098480.0000,-0.604166
2020-02-14,sh.000032,1131.0480,1136.9940,1128.7690,1135.4140,1134.0190,545161808,2525131536.0000,0.123014
2020-02-17,sh.000032,1135.3560,1154.8320,1134.3740,1154.1920,1135.4140,913746800,4163173424.0000,1.653846
2020-02-18,sh.000032,1154.9370,1155.4290,1142.9610,1149.1810,1154.1920,911617504,4103414336.0000,-0.434157
2020-02-19,sh.000032,1148.1690,1149.1010,1141.9820,1143.2800,1149.1810,900236000,3845466288.0000,-0.513496
2020-02-20,sh.000032,1146.3590,1160.5340,1143.7830,1160.4040,1143.2800,1137776000,4792553984.0000,1.497796
2020-02-21,sh.000032,1157.5290,1163.5020,1154.5700,1160.3330,1160.4040,1123575808,4666999808.0000,-0.006119
2020-02-24,sh.000032,1153.4270,1154.3760,1139.9230,1144.4560,1160.3330,1124500000,5053727744.0000,-1.368314
2020-02-25,sh.000032,1124.4290,1128.1610,1108.4160,1123.8140,1144.4560,1426797600,5681971456.0000,-1.803652
2020-02-26,sh.000032,1113.2010,1143.5180,1110.5340,1134.8930,1123.8140,1780957504,6684805120.0000,0.985839
2020-02-27,sh.000032,1133.6410,1141.3520,1126.4760,1130.5230,1134.8930,1247799104,4889632256.0000,-0.385058
2020-02-28,sh.000032,1110.8280,1116.1940,1092.6840,1098.2300,1130.5230,1524774096,6453482240.0000,-2.856466
2020-03-02,sh.000032,1107.8620,1135.4080,1107.8620,1133.3430,1098.2300,1244097104,5748551936.0000,3.197236
2020-03-03,sh.000032,1147.4370,1150.7190,1133.8560,1139.5170,1133.3430,1410245008,6166311680.0000,0.544760
2020-03-04,sh.000032,1135.4790,1146.8210,1132.3380,1145.5170,1139.5170,1073176800,4670825984.0000,0.526539
2020-03-05,sh.000032,1152.5110,1166.8380,1148.4670,1165.1670,1145.5170,1540208608,7005797120.0000,1.715383
2020-03-06,sh.000032,1152.9730,1161.1230,1146.9380,1156.4020,1165.1670,1253185200,5366982400.0000,-0.752253
2020-03-09,sh.000032,1127.6397,1145.1437,1118.7082,1132.4536,1156.4024,2105849800,9220703267.0000,-2.070975
2020-03-10,sh.000032,1120.9156,1143.4446,1115.8225,1139.2738,1132.4536,1457896400,6578064444.0000,0.602250
2020-03-11,sh.000032,1137.6067,1140.1687,1126.5798,1126.5798,1139.2738,1229337700,5221962581.0000,-1.114219
2020-03-12,sh.000032,1113.4886,1115.2500,1098.9230,1103.0279,1126.5798,1116307300,4674682211.0000,-2.090567
2020-03-13,sh.000032,1068.5056,1096.1786,1061.6920,1087.6626,1103.0279,1338582800,5490417036.0000,-1.393011
2020-03-16,sh.000032,1092.5236,1105.5062,1074.1335,1076.2751,1087.6626,1326167900,5636510752.0000,-1.046970
2020-03-17,sh.000032,1074.7614,1084.9202,1055.0903,1068.8230,1076.2751,992031500,4256601320.0000,-0.692397
2020-03-18,sh.000032,1072.1359,1075.0856,1052.2058,1052.4275,1068.8230,902429900,3921855792.0000,-1.533977
2020-03-19,sh.000032,1047.5387,1050.7151,1015.6734,1029.7410,1052.1556,1018758900,4530906138.0000,-2.130350
2020-03-20,sh.000032,1040.0839,1047.0852,1029.9265,1043.0392,1029.7410,778423300,3290394399.0000,1.291412
2020-03-23,sh.000032,1023.4078,1031.9556,1017.2678,1019.1953,1043.0392,779359800,3267735221.0000,-2.286002
2020-03-24,sh.000032,1031.8502,1046.2364,1029.5775,1045.0689,1019.1953,768836800,3594620339.0000,2.538630
2020-03-25,sh.000032,1060.3732,1060.9100,1050.9613,1056.8727,1045.0689,833969700,3484356671.0000,1.129476
2020-03-26,sh.000032,1053.3230,1053.5623,1046.3600,1047.0080,1056.8727,689735000,3145813911.0000,-0.933386
2020-03-27,sh.000032,1054.5586,1055.3816,1044.8273,1049.0042,1047.0080,716583500,3319861588.0000,0.190658
2020-02-04,sh.000033,1715.7170,1788.8940,1715.7170,1784.2560,1761.4230,3237745504,23732107008.0000,1.296281
2020-02-05,sh.000033,1788.6240,1833.5480,1786.5190,1817.6520,1784.2560,2888926400,22942025216.0000,1.871705
2020-02-06,sh.000033,1818.7790,1843.8420,1801.6200,1837.0090,1817.6520,2737665408,20495294976.0000,1.064945
2020-02-07,sh.000033,1832.1900,1836.9570,1811.5120,1832.5500,1837.0090,2484606896,17617979136.0000,-0.242732
2020-02-10,sh.000033,1826.8270,1890.3710,1820.9200,1889.8490,1832.5500,2628310704,22232218368.0000,3.126736
2020-02-11,sh.000033,1890.6530,1914.2710,1880.9820,1900.2500,1889.8490,2748801296,22193645824.0000,0.550361
2020-02-12,sh.000033,1891.2250,1932.4630,1888.5430,1932.0780,1900.2500,2312415600,19740511488.0000,1.674938
2020-02-13,sh.000033,1936.8250,1952.9660,1928.7270,1931.1180,1932.0780,2810657296,25398487040.0000,-0.049687
2020-02-14,sh.000033,1927.9100,1958.2870,1925.0530,1950.7940,1931.1180,2913421408,22875486720.0000,1.018892
2020-02-17,sh.000033,1952.2420,1989.8620,1952.2420,1989.8620,1950.7940,3019112800,23469194240.0000,2.002672
2020-02-18,sh.000033,1988.9840,1990.7320,1963.7790,1975.2370,1989.8620,2846278096,24222584576.0000,-0.734976
2020-02-19,sh.000033,1965.3640,1969.1980,1954.5160,1958.1310,1975.2370,3234193200,25971353856.0000,-0.866023
2020-02-20,sh.000033,1962.3310,1977.7820,1944.7530,1976.4550,1958.1310,3042949504,26622136064.0000,0.935790
2020-02-21,sh.000033,1974.2480,1991.9350,1967.7670,1982.9050,1976.4550,3140452608,26621507840.0000,0.326342
2020-02-24,sh.000033,1985.5500,1985.7550,1954.5090,1976.4380,1982.9050,3691302096,34657606144.0000,-0.326138
2020-02-25,sh.000033,1933.6110,1952.0720,1913.5700,1949.6660,1976.4380,4221048704,34848935424.0000,-1.354558
2020-02-26,sh.000033,1921.3990,1967.7820,1917.6510,1941.0660,1949.6660,4357179136,32126700032.0000,-0.441101
2020-02-27,sh.000033,1944.2060,1967.3660,1944.2060,1957.7510,1941.0660,2782851104,23378165248.0000,0.859579
2020-02-28,sh.000033,1906.4980,1930.3810,1866.6540,1871.3770,1957.7510,3540101104,27869469184.0000,-4.411899
2020-03-02,sh.000033,1880.0020,1971.7580,1880.0020,1966.1620,1871.3770,3440464000,30728931072.0000,5.064987
2020-03-03,sh.000033,1996.0760,1998.6950,1948.1160,1961.7070,1966.1620,3547800400,30169793536.0000,-0.226584
2020-03-04,sh.000033,1961.8600,1986.4350,1951.6570,1978.6500,1961.7070,2936201600,24594755584.0000,0.863687
2020-03-05,sh.000033,1988.8190,2012.3630,1980.4840,2010.4290,1978.6500,3645954704,27720056320.0000,1.606095
2020-03-06,sh.000033,1994.7800,2001.9660,1984.6480,1986.4190,2010.4290,2985284704,25498911488.0000,-1.194272
2020-03-09,sh.000033,1957.7787,1957.7787,1904.3601,1905.5051,1986.4190,3610087200,29867504716.0000,-4.073355
2020-03-10,sh.000033,1877.7720,1934.3502,1865.5018,1932.7671,1905.5051,3057133300,24491418535.0000,1.430697
2020-03-11,sh.000033,1933.0303,1933.3174,1903.4264,1903.4636,1932.7671,2434127900,18266232347.0000,-1.516142
2020-03-12,sh.000033,1872.2549,1881.5469,1846.7675,1860.2741,1903.4636,2472840600,18948425868.0000,-2.268995
2020-03-13,sh.000033,1764.4375,1842.4749,1759.9518,1822.6575,1860.2741,3044829000,22304216084.0000,-2.022100
2020-03-16,sh.000033,1835.3406,1835.3406,1748.1457,1754.6344,1822.6575,2667520100,20428439558.0000,-3.732084
2020-03-17,sh.000033,1758.3410,1781.9651,1695.4374,1738.9456,1754.6344,2407985700,18234058460.0000,-0.894135
2020-03-18,sh.000033,1755.2997,1780.7058,1720.1615,1721.3971,1738.9456,2191581000,17212967017.0000,-1.009146
2020-03-19,sh.000033,1711.7092,1728.3920,1663.9617,1700.0699,1720.3622,2402754900,18212626757.0000,-1.179536
2020-03-20,sh.000033,1718.9447,1737.9578,1696.0611,1733.3276,1700.0699,1864232700,15828638339.0000,1.956255
2020-03-23,sh.000033,1683.3509,1706.5566,1675.2923,1679.9358,1733.3276,2189405800,16281595918.0000,-3.080306
2020-03-24,sh.000033,1723.0935,1733.2415,1696.6758,1732.9205,1679.9358,2397782300,18741455955.0000,3.153972
2020-03-25,sh.000033,1777.9298,1779.5503,1753.6950,1768.9631,1732.9205,2279070600,18346194984.0000,2.079876
2020-03-26,sh.000033,1752.4689,1770.2688,1745.1973,1749.0119,1768.9631,1754717700,13170271486.0000,-1.127847
2020-03-27,sh.000033,1766.4455,1774.1807,1751.9605,1757.4686,1749.0119,1757240500,14203844397.0000,0.483513
2020-02-04,sh.000034,1774.0210,1855.4630,1774.0210,1851.8610,1821.1540,2897016608,25745199104.0000,1.686129
2020-02-05,sh.000034,1860.0930,1900.1100,1853.5180,1877.3840,1851.8610,2104637008,20214930688.0000,1.378235
2020-02-06,sh.000034,1890.2950,1914.3070,1869.0180,1911.6200,1877.3840,1956927696,17641817600.0000,1.823601
2020-02-07,sh.000034,1904.9730,1926.1020,1894.4620,1925.4450,1911.6200,1715743504,20662958592.0000,0.723209
2020-02-10,sh.000034,1914.6890,1950.9410,1907.3000,1948.1840,1925.4450,1827592608,20565120512.0000,1.180974
2020-02-11,sh.000034,1947.9740,1970.6000,1942.9970,1958.7150,1948.1840,1755467808,17361358592.0000,0.540555
2020-02-12,sh.000034,1966.6440,1979.0380,1957.1910,1978.3150,1958.7150,1473776000,17746558208.0000,1.000656
2020-02-13,sh.000034,1983.3940,1997.2050,1955.6060,1965.5840,1978.3150,1778745008,19052123392.0000,-0.643527
2020-02-14,sh.000034,1958.4280,1973.3190,1957.7410,1973.2350,1965.5840,1516591600,15632732416.0000,0.389248
2020-02-17,sh.000034,1974.2980,2014.8500,1974.2980,2014.8500,1973.2350,2057477200,21559229440.0000,2.108973
2020-02-18,sh.000034,2017.8890,2027.9500,1998.9500,2012.1480,2014.8500,1878079904,19638929408.0000,-0.134104
2020-02-19,sh.000034,2007.5060,2020.2700,2001.1330,2004.7610,2012.1480,2017243408,21472196608.0000,-0.367120
2020-02-20,sh.000034,2012.7430,2040.7770,2005.3690,2040.2160,2004.7610,2476560208,24142788608.0000,1.768540
2020-02-21,sh.000034,2036.9960,2054.5130,2031.9870,2044.6500,2040.2160,2585475296,25105005568.0000,0.217330
2020-02-24,sh.000034,2035.5200,2035.5200,2000.2300,2010.7950,2044.6500,2542575696,25069222144.0000,-1.655785
2020-02-25,sh.000034,1970.6040,1980.0000,1933.8470,1976.6260,2010.7950,2804672208,25427491328.0000,-1.699278
2020-02-26,sh.000034,1953.1500,2030.9640,1949.0810,2004.1380,1976.6260,4528710144,35147502592.0000,1.391867
2020-02-27,sh.000034,2010.5430,2026.7390,1999.8180,2010.4960,2004.1380,2930112800,25567416064.0000,0.317244
2020-02-28,sh.000034,1959.9510,2006.4770,1952.1380,1958.6190,2010.4960,3448879200,29258921984.0000,-2.580309
2020-03-02,sh.000034,1972.5070,2070.0540,1972.5070,2064.8260,1958.6190,4220887600,33711342336.0000,5.422545
2020-03-03,sh.000034,2099.9610,2104.3090,2045.5480,2059.0080,2064.8260,4357296384,35731641856.0000,-0.281767
2020-03-04,sh.000034,2044.5040,2078.1060,2041.5540,2076.8500,2059.0080,2876136800,25590746112.0000,0.866534
2020-03-05,sh.000034,2093.6520,2106.5570,2084.8300,2102.4960,2076.8500,3142596000,28192596736.0000,1.234851
2020-03-06,sh.000034,2079.3150,2085.7520,2060.6710,2063.0580,2102.4960,2642910896,23543653120.0000,-1.875771
2020-03-09,sh.000034,2035.4780,2041.9039,2007.1833,2008.0824,2063.0581,3230608800,28001917466.0000,-2.664767
2020-03-10,sh.000034,1985.1095,2050.2724,1979.1250,2047.3862,2008.0824,3108226900,26014437969.0000,1.957280
2020-03-11,sh.000034,2054.8765,2079.8698,2042.1366,2042.7182,2047.3862,3252189700,29349655590.0000,-0.227998
2020-03-12,sh.000034,2015.3169,2022.1726,1989.6007,2001.7999,2042.7182,2658735100,24602841011.0000,-2.003130
2020-03-13,sh.000034,1915.2189,2005.1679,1911.9479,1986.7173,2001.7999,3009597900,27253025094.0000,-0.753452
2020-03-16,sh.000034,1999.3595,1999.4954,1908.6901,1909.7172,1986.7173,2807612900,26958757461.0000,-3.875745
2020-03-17,sh.000034,1916.6148,1943.4144,1852.6463,1909.7725,1909.7172,2399557100,22063055248.0000,0.002896
2020-03-18,sh.000034,1919.6361,1941.7461,1870.4402,1871.1868,1909.7725,2270606400,20999107994.0000,-2.020434
2020-03-19,sh.000034,1865.6868,1878.3743,1802.2210,1837.8664,1869.4904,2526991500,23278482718.0000,-1.691584
2020-03-20,sh.000034,1855.7218,1873.7444,1839.9024,1869.9190,1837.8664,2011767700,18474432375.0000,1.744011
2020-03-23,sh.000034,1818.7394,1843.1659,1808.4967,1813.5740,1869.9190,1757097100,16753508783.0000,-3.013232
2020-03-24,sh.000034,1845.6705,1859.9413,1814.6703,1848.5673,1813.5740,1693796800,15707261276.0000,1.929521
2020-03-25,sh.000034,1893.2715,1896.7315,1869.3216,1891.5384,1848.5673,2097456300,18471799814.0000,2.324562
2020-03-26,sh.000034,1878.3895,1885.5634,1860.5196,1862.2157,1891.5384,1533641800,12990848846.0000,-1.550204
2020-03-27,sh.000034,1885.0097,1917.0358,1873.8445,1891.2449,1862.2157,2471420400,20302715093.0000,1.558853
2020-02-04,sh.000035,2165.0010,2228.2920,2165.0010,2217.0510,2174.3680,1267665600,15119019264.0000,1.963007
2020-02-05,sh.000035,2250.2630,2280.7560,2241.6000,2269.5270,2217.0510,1162411504,16015418624.0000,2.366928
2020-02-06,sh.000035,2268.8550,2321.4700,2251.9270,2321.2340,2269.5270,1287676000,18292644096.0000,2.278316
2020-02-07,sh.000035,2323.9500,2330.2370,2290.6710,2329.4740,2321.2340,1230176800,17140519424.0000,0.354984
2020-02-10,sh.000035,2316.2460,2351.6750,2308.1770,2350.0280,2329.4740,1089128400,15824374016.0000,0.882345
2020-02-11,sh.000035,2363.0400,2367.5970,2336.6140,2354.7090,2350.0280,936939696,13970121472.0000,0.199189
2020-02-12,sh.000035,2348.8110,2371.7030,2341.2400,2371.3960,2354.7090,771324704,10890260224.0000,0.708665
2020-02-13,sh.000035,2364.5390,2369.6230,2335.7600,2342.5630,2371.3960,841254704,12032930048.0000,-1.215866
2020-02-14,sh.000035,2339.2770,2354.6020,2328.7530,2344.8810,2342.5630,658540208,9541263360.0000,0.098951
