date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-02,sh.000032,1263.7460,1274.6880,1263.1500,1269.2530,1255.7090,1058755696,5908838912.0000,1.078594
2020-01-03,sh.000032,1269.2760,1284.4880,1267.6340,1280.8110,1269.2530,1307384800,6040035328.0000,0.910614
2020-01-06,sh.000032,1290.6230,1317.6430,1290.6230,1311.4340,1280.8110,2004029296,9852068096.0000,2.390907
2020-01-07,sh.000032,1299.3960,1313.4180,1298.2770,1306.8510,1311.4340,1660143008,7937489152.0000,-0.349465
2020-01-08,sh.000032,1321.1650,1323.1580,1293.2450,1296.6780,1306.8510,1650793008,8114541568.0000,-0.778436
2020-01-09,sh.000032,1282.5000,1286.7790,1279.0300,1283.3870,1296.6780,1178761200,5721628416.0000,-1.025004
2020-01-10,sh.000032,1282.5290,1283.0610,1266.9780,1270.0360,1283.3870,781720896,4185372704.0000,-1.040294
2020-01-13,sh.000032,1268.1640,1271.2780,1260.4060,1271.2780,1270.0360,669451904,3785387680.0000,0.097793
2020-01-14,sh.000032,1269.6810,1278.6790,1269.3590,1270.6850,1271.2780,820031600,3894490032.0000,-0.046646
2020-01-15,sh.000032,1270.0580,1270.0580,1253.4870,1255.3750,1270.6850,645652304,3453204720.0000,-1.204862
2020-01-16,sh.000032,1256.5780,1257.8720,1246.7170,1247.1740,1255.3750,623765408,3315031040.0000,-0.653271
2020-01-17,sh.000032,1249.9180,1255.4450,1246.0820,1249.0650,1247.1740,547576400,2662537280.0000,0.151623
2020-01-20,sh.000032,1250.1980,1250.8030,1242.5110,1247.3160,1249.0650,580622800,3129371504.0000,-0.140025
2020-01-21,sh.000032,1243.3100,1243.3100,1227.3950,1229.2810,1247.3160,686393904,3485081920.0000,-1.445905
2020-01-22,sh.000032,1224.1470,1232.2380,1211.1730,1229.3740,1229.2810,686976400,3520460096.0000,0.007565
2020-01-23,sh.000032,1221.0630,1221.0630,1189.9440,1195.2430,1229.3740,943957104,4704808704.0000,-2.776291
2020-02-03,sh.000032,1080.1450,1103.9390,1080.1450,1094.3880,1195.2430,1056120496,5965972736.0000,-8.438033
2020-02-04,sh.000032,1065.2660,1099.7180,1065.2660,1097.1840,1094.3880,1310307904,5756029696.0000,0.255485
2020-02-05,sh.000032,1097.3120,1116.0760,1091.8870,1102.0050,1097.1840,1035694896,4557859072.0000,0.439398
2020-02-06,sh.000032,1110.0790,1118.0450,1101.7680,1115.6870,1102.0050,956049600,4222791520.0000,1.241555
2020-02-07,sh.000032,1110.7500,1113.2060,1101.3960,1112.6180,1115.6870,821746896,3585866400.0000,-0.275077
2020-02-10,sh.000032,1106.7390,1126.0060,1104.4960,1125.8180,1112.6180,904422608,4218577632.0000,1.186391
2020-02-11,sh.000032,1126.6180,1143.2160,1122.1600,1134.5760,1125.8180,941618496,4477659392.0000,0.777923
2020-02-12,sh.000032,1132.0410,1140.9120,1127.9620,1140.9120,1134.5760,691640896,3058547568.0000,0.558447
2020-02-13,sh.000032,1141.3280,1147.1690,1133.3970,1134.0190,1140.9120,702519600,3150098480.0000,-0.604166
2020-02-14,sh.000032,1131.0480,1136.9940,1128.7690,1135.4140,1134.0190,545161808,2525131536.0000,0.123014
2020-02-17,sh.000032,1135.3560,1154.8320,1134.3740,1154.1920,1135.4140,913746800,4163173424.0000,1.653846
2020-02-18,sh.000032,1154.9370,1155.4290,1142.9610,1149.1810,1154.1920,911617504,4103414336.0000,-0.434157
2020-02-19,sh.000032,1148.1690,1149.1010,1141.9820,1143.2800,1149.1810,900236000,3845466288.0000,-0.513496
2020-02-20,sh.000032,1146.3590,1160.5340,1143.7830,1160.4040,1143.2800,1137776000,4792553984.0000,1.497796
2020-02-21,sh.000032,1157.5290,1163.5020,1154.5700,1160.3330,1160.4040,1123575808,4666999808.0000,-0.006119
2020-02-24,sh.000032,1153.4270,1154.3760,1139.9230,1144.4560,1160.3330,1124500000,5053727744.0000,-1.368314
2020-02-25,sh.000032,1124.4290,1128.1610,1108.4160,1123.8140,1144.4560,1426797600,5681971456.0000,-1.803652
2020-02-26,sh.000032,1113.2010,1143.5180,1110.5340,1134.8930,1123.8140,1780957504,6684805120.0000,0.985839
2020-02-27,sh.000032,1133.6410,1141.3520,1126.4760,1130.5230,1134.8930,1247799104,4889632256.0000,-0.385058
2020-02-28,sh.000032,1110.8280,1116.1940,1092.6840,1098.2300,1130.5230,1524774096,6453482240.0000,-2.856466
2020-03-02,sh.000032,1107.8620,1135.4080,1107.8620,1133.3430,1098.2300,1244097104,5748551936.0000,3.197236
2020-03-03,sh.000032,1147.4370,1150.7190,1133.8560,1139.5170,1133.3430,1410245008,6166311680.0000,0.544760
2020-03-04,sh.000032,1135.4790,1146.8210,1132.3380,1145.5170,1139.5170,1073176800,4670825984.0000,0.526539
2020-03-05,sh.000032,1152.5110,1166.8380,1148.4670,1165.1670,1145.5170,1540208608,7005797120.0000,1.715383
2020-03-06,sh.000032,1152.9730,1161.1230,1146.9380,1156.4020,1165.1670,1253185200,5366982400.0000,-0.752253
2020-03-09,sh.000032,1127.6397,1145.1437,1118.7082,1132.4536,1156.4024,2105849800,9220703267.0000,-2.070975
2020-03-10,sh.000032,1120.9156,1143.4446,1115.8225,1139.2738,1132.4536,1457896400,6578064444.0000,0.602250
2020-03-11,sh.000032,1137.6067,1140.1687,1126.5798,1126.5798,1139.2738,1229337700,5221962581.0000,-1.114219
2020-03-12,sh.000032,1113.4886,1115.2500,1098.9230,1103.0279,1126.5798,1116307300,4674682211.0000,-2.090567
2020-03-13,sh.000032,1068.5056,1096.1786,1061.6920,1087.6626,1103.0279,1338582800,5490417036.0000,-1.393011
2020-03-16,sh.000032,1092.5236,1105.5062,1074.1335,1076.2751,1087.6626,1326167900,5636510752.0000,-1.046970
2020-03-17,sh.000032,1074.7614,1084.9202,1055.0903,1068.8230,1076.2751,992031500,4256601320.0000,-0.692397
2020-03-18,sh.000032,1072.1359,1075.0856,1052.0746,1052.1556,1068.8230,913210400,3969046053.0000,-1.559416
2020-03-19,sh.000032,1047.5387,1050.7151,1015.6734,1029.7410,1052.1556,1018758900,4530906138.0000,-2.130350
2020-03-20,sh.000032,1040.0839,1047.0852,1029.9265,1043.0392,1029.7410,778423300,3290394399.0000,1.291412
2020-03-23,sh.000032,1023.4078,1031.9556,1017.2678,1019.1953,1043.0392,779359800,3267735221.0000,-2.286002
2020-03-24,sh.000032,1031.8502,1046.2364,1029.5775,1045.0689,1019.1953,768836800,3594620339.0000,2.538630
2020-03-25,sh.000032,1060.3732,1060.9100,1050.9613,1056.8727,1045.0689,833969700,3484356671.0000,1.129476
2020-03-26,sh.000032,1053.3230,1053.5623,1046.3600,1047.0080,1056.8727,689735000,3145813911.0000,-0.933386
2020-03-27,sh.000032,1054.5586,1055.3816,1044.8273,1049.0042,1047.0080,716583500,3319861588.0000,0.190658
2020-03-30,sh.000032,1041.1628,1047.2671,1036.2622,1041.4384,1049.0042,865608800,4231719418.0000,-0.721236
2020-03-31,sh.000032,1047.7955,1050.4500,1038.0036,1040.0637,1041.4384,800731500,3593808180.0000,-0.132000
2020-04-01,sh.000032,1037.1358,1042.6696,1028.8916,1029.6131,1040.0637,746845800,3340158634.0000,-1.004804
2020-04-02,sh.000032,1024.8979,1063.3658,1024.7033,1063.3658,1029.6131,1546842700,6245877338.0000,3.278193
2020-04-03,sh.000032,1063.4286,1063.4286,1045.7819,1049.8015,1063.3658,1120630500,4892446352.0000,-1.275601
2020-04-07,sh.000032,1061.6095,1065.4596,1055.8297,1062.2409,1049.8015,1179825300,5257485955.0000,1.184929
2020-04-08,sh.000032,1056.1016,1064.0874,1050.7828,1060.6219,1062.2409,893815200,3774804764.0000,-0.152414
2020-04-09,sh.000032,1065.7368,1066.6942,1057.5542,1059.0899,1060.6219,679201300,2881451245.0000,-0.144444
2020-04-10,sh.000032,1057.0711,1057.0711,1043.9379,1046.1194,1059.0899,731043500,3040708221.0000,-1.224684
2020-04-13,sh.000032,1047.7579,1049.7644,1042.1389,1043.4493,1046.1194,546843500,2337589731.0000,-0.255239
2020-04-14,sh.000032,1044.6460,1056.4129,1042.5691,1056.0247,1043.4493,631637300,2923285065.0000,1.205176
2020-04-15,sh.000032,1054.6142,1054.6142,1045.2258,1046.4235,1056.0247,561525500,2463527608.0000,-0.909183
2020-04-16,sh.000032,1042.9967,1048.2002,1042.3929,1045.1129,1046.4235,639776700,2452961990.0000,-0.125246
2020-04-17,sh.000032,1049.3461,1054.3209,1047.7406,1049.8850,1045.1129,807345100,3461555478.0000,0.456611
2020-04-20,sh.000032,1045.6750,1051.8548,1043.2961,1048.8316,1049.8850,663665400,2816060628.0000,-0.100335
2020-04-21,sh.000032,1042.6000,1045.2559,1027.0245,1031.0321,1048.8316,764187400,3598873519.0000,-1.697079
2020-04-22,sh.000032,1025.0513,1026.4968,1018.4695,1024.0421,1031.0321,753480300,3246149593.0000,-0.677961
2020-04-23,sh.000032,1028.2515,1043.5083,1028.2515,1038.0002,1024.0421,1220166700,4821451880.0000,1.363040
2020-04-24,sh.000032,1038.2371,1039.1197,1021.2354,1023.6767,1038.0002,1054268000,4143592318.0000,-1.379913
2020-04-27,sh.000032,1021.4096,1027.7089,1019.7321,1020.3067,1023.6767,715728000,2869858290.0000,-0.329206
2020-04-28,sh.000032,1019.8769,1020.1641,991.7526,1002.3897,1020.3067,956065000,3618546825.0000,-1.756041
2020-04-29,sh.000032,1003.4032,1011.8017,1003.4032,1008.6872,1002.3897,676477500,2549913704.0000,0.628249
2020-04-30,sh.000032,1012.4295,1028.3676,1012.4295,1027.1341,1008.6872,843523200,3555796683.0000,1.828803
2020-05-06,sh.000032,1019.4584,1026.2249,1016.4167,1025.0620,1027.1341,811213900,3573478151.0000,-0.201736
2020-05-07,sh.000032,1023.6408,1023.6408,1016.0949,1018.0004,1025.0620,597093400,2618813701.0000,-0.688895
2020-05-08,sh.000032,1020.8194,1027.0892,1018.8547,1025.6596,1018.0004,587087600,2601416522.0000,0.752377
2020-05-11,sh.000032,1026.2835,1031.2395,1024.9234,1027.3013,1025.6596,522502500,2500449723.0000,0.160063
2020-05-12,sh.000032,1027.7779,1027.7779,1018.6538,1022.2064,1027.3013,509276900,2291923256.0000,-0.495950
2020-05-13,sh.000032,1020.4934,1021.5567,1013.5886,1019.9659,1022.2064,527845600,2185302416.0000,-0.219183
2020-05-14,sh.000032,1017.0275,1017.1807,1011.7643,1012.9970,1019.9659,539936300,2151168171.0000,-0.683248
2020-05-15,sh.000032,1015.0553,1020.1503,1013.7655,1015.1468,1012.9970,447450200,2045934395.0000,0.212222
2020-05-18,sh.000032,1020.1085,1024.4533,1015.3200,1019.5511,1015.1468,630443800,2646304813.0000,0.433858
2020-05-19,sh.000032,1029.9331,1035.4913,1029.9331,1032.2949,1019.5511,708365400,3489018988.0000,1.249942
