date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-02,sh.000001,3066.3350,3098.1000,3066.3350,3085.1970,3050.1240,29247020800,327197122560.0000,1.149888
2020-01-03,sh.000001,3089.0220,3093.8190,3074.5170,3083.7850,3085.1970,26149666816,289991708672.0000,-0.045767
2020-01-06,sh.000001,3070.9080,3107.2030,3065.3080,3083.4080,3083.7850,31257584128,331182551040.0000,-0.012225
2020-01-07,sh.000001,3085.4880,3105.4500,3084.3290,3104.8010,3083.4080,27658311168,288159227904.0000,0.693810
2020-01-08,sh.000001,3094.2380,3094.2380,3059.1310,3066.8920,3104.8010,29787255296,306517393408.0000,-1.220980
2020-01-09,sh.000001,3082.6390,3097.3290,3080.1310,3094.8810,3066.8920,24343564800,271716020224.0000,0.912618
2020-01-10,sh.000001,3102.2930,3105.2240,3081.3960,3092.2900,3094.8810,21044246272,241555668992.0000,-0.083719
2020-01-13,sh.000001,3091.4930,3115.5690,3075.3830,3115.5690,3092.2900,21062100480,258524057600.0000,0.752808
2020-01-14,sh.000001,3120.6660,3127.1690,3105.6040,3106.8200,3115.5690,22997377024,271542439936.0000,-0.280815
2020-01-15,sh.000001,3103.1740,3107.9420,3082.0420,3090.0370,3106.8200,20231302400,232913444864.0000,-0.540199
2020-01-16,sh.000001,3095.7340,3096.3710,3070.8840,3074.0810,3090.0370,20337547520,236843360256.0000,-0.516369
2020-01-17,sh.000001,3081.4640,3091.9510,3067.2520,3075.4950,3074.0810,19030429952,242273046528.0000,0.045997
2020-01-20,sh.000001,3082.1130,3096.3100,3070.4800,3095.7870,3075.4950,21049334016,271122456576.0000,0.659796
2020-01-21,sh.000001,3085.7890,3085.7890,3051.2300,3052.1410,3095.7870,23483073792,286268096512.0000,-1.409852
2020-01-22,sh.000001,3038.4860,3069.2520,3006.2670,3060.7540,3052.1410,22385286400,278456922112.0000,0.282195
2020-01-23,sh.000001,3037.9520,3045.0400,2955.3460,2976.5280,3060.7540,27276323328,327490359296.0000,-2.751806
2020-02-03,sh.000001,2716.6970,2766.5770,2716.6970,2746.6050,2976.5280,21591210240,257019596800.0000,-7.724537
2020-02-04,sh.000001,2685.2690,2786.1640,2685.2690,2783.2870,2746.6050,36404620032,374068465664.0000,1.335540
2020-02-05,sh.000001,2792.3710,2842.7420,2778.8640,2818.0870,2783.2870,30976182272,349184114688.0000,1.250320
2020-02-06,sh.000001,2826.8850,2876.5870,2807.6090,2866.5090,2818.0870,31639214336,358582591488.0000,1.718258
2020-02-07,sh.000001,2858.9320,2875.9630,2838.7700,2875.9630,2866.5090,30947964160,362384162816.0000,0.329809
2020-02-10,sh.000001,2860.4990,2891.8470,2851.0500,2890.4870,2875.9630,29492978432,341520400384.0000,0.505013
2020-02-11,sh.000001,2894.5410,2913.8150,2882.2420,2901.6740,2890.4870,26916833536,302956847104.0000,0.387028
2020-02-12,sh.000001,2895.5560,2926.8990,2892.4240,2926.8990,2901.6740,24873342976,297534418944.0000,0.869326
2020-02-13,sh.000001,2927.1440,2935.4060,2901.2420,2906.0730,2926.8990,27480484352,334526328832.0000,-0.711538
2020-02-14,sh.000001,2899.8650,2926.9420,2899.5730,2917.0070,2906.0730,25065062656,308080369664.0000,0.376247
2020-02-17,sh.000001,2924.9910,2983.6370,2924.9910,2983.6220,2917.0070,31319800832,367014338560.0000,2.283676
2020-02-18,sh.000001,2981.4090,2990.6000,2960.7750,2984.9710,2983.6220,31166591232,374998560768.0000,0.045214
2020-02-19,sh.000001,2979.5220,2998.2710,2971.8210,2975.4010,2984.9710,31514115072,381331161088.0000,-0.320606
2020-02-20,sh.000001,2981.8800,3031.3700,2968.4450,3030.1540,2975.4010,34573288192,413761363968.0000,1.840189
2020-02-21,sh.000001,3022.2450,3058.8980,3020.1410,3039.6690,3030.1540,36455727616,445062078464.0000,0.314010
2020-02-24,sh.000001,3027.8920,3042.1820,3007.3550,3031.2330,3039.6690,37043004416,451601362944.0000,-0.277530
2020-02-25,sh.000001,2982.0690,3016.9450,2943.7160,3013.0500,3031.2330,44162276096,513128644608.0000,-0.599855
2020-02-26,sh.000001,2978.4190,3028.7780,2974.9420,2987.9280,3013.0500,46904955136,495341449216.0000,-0.833773
2020-02-27,sh.000001,2992.4910,3009.4570,2980.4770,2991.3280,2987.9280,35052365824,395955642368.0000,0.113791
2020-02-28,sh.000001,2924.6400,2948.1260,2878.5440,2880.3030,2991.3280,40121691392,432657776640.0000,-3.711562
2020-03-02,sh.000001,2899.3100,2982.5060,2899.3100,2970.9310,2880.3030,36733336832,397244203008.0000,3.146475
2020-03-03,sh.000001,3006.8880,3026.8420,2976.6230,2992.8960,2970.9310,41010804736,447053680640.0000,0.739331
2020-03-04,sh.000001,2981.8060,3012.0030,2974.3580,3011.6650,2992.8960,35333827840,389893918720.0000,0.627118
2020-03-05,sh.000001,3036.1540,3074.2570,3022.9260,3071.6770,3011.6650,44542580736,482770472960.0000,1.992652
2020-03-06,sh.000001,3039.9390,3052.4430,3029.4630,3034.5110,3071.6770,36206153216,377388544000.0000,-1.209958
2020-03-09,sh.000001,2987.1805,2989.2051,2940.7138,2943.2907,3034.5113,41456073600,438143854609.8000,-3.006105
2020-03-10,sh.000001,2918.9347,3000.2963,2904.7989,2996.7618,2943.2907,39329664800,425017184790.9000,1.816711
2020-03-11,sh.000001,3001.7616,3010.0286,2968.5174,2968.5174,2996.7618,35247097000,378766618968.3000,-0.942497
2020-03-12,sh.000001,2936.0163,2944.4651,2906.2838,2923.4856,2968.5174,30777845700,328209202377.8000,-1.516979
2020-03-13,sh.000001,2804.2322,2910.8812,2799.9841,2887.4265,2923.4856,36645043600,393019665228.0000,-1.233428
